url,category,trust_level,status,http_status,title,document_id,source_id,content_hash,fetched_at,error
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2024.04.028,????,high,fetch_failed,,,,,,,"HTTP 405: <!doctypehtml><html lang=""zh-cn""><meta charset=""utf-8""><meta http-equiv=""X-UA-Compatible""content=""IE=edge,chrome=1""><meta name=""data-spm""content=""a3c0e""><title>405</title><style>a,body,div,h2,html,p{margin:0;padding:0}a{text-decoration:none;color:#3b6ea3}.container{width:1000px;margin:auto;color:#69"
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2024.11.039,????,high,fetch_failed,,,,,,,"HTTP 405: <!doctypehtml><html lang=""zh-cn""><meta charset=""utf-8""><meta http-equiv=""X-UA-Compatible""content=""IE=edge,chrome=1""><meta name=""data-spm""content=""a3c0e""><title>405</title><style>a,body,div,h2,html,p{margin:0;padding:0}a{text-decoration:none;color:#3b6ea3}.container{width:1000px;margin:auto;color:#69"
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.01.011,????,high,fetch_failed,,,,,,,"HTTP 405: <!doctypehtml><html lang=""zh-cn""><meta charset=""utf-8""><meta http-equiv=""X-UA-Compatible""content=""IE=edge,chrome=1""><meta name=""data-spm""content=""a3c0e""><title>405</title><style>a,body,div,h2,html,p{margin:0;padding:0}a{text-decoration:none;color:#3b6ea3}.container{width:1000px;margin:auto;color:#69"
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.02.016,????,high,fetch_failed,,,,,,,"HTTP 405: <!doctypehtml><html lang=""zh-cn""><meta charset=""utf-8""><meta http-equiv=""X-UA-Compatible""content=""IE=edge,chrome=1""><meta name=""data-spm""content=""a3c0e""><title>405</title><style>a,body,div,h2,html,p{margin:0;padding:0}a{text-decoration:none;color:#3b6ea3}.container{width:1000px;margin:auto;color:#69"
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.03.037,????,high,fetch_failed,,,,,,,"HTTP 405: <!doctypehtml><html lang=""zh-cn""><meta charset=""utf-8""><meta http-equiv=""X-UA-Compatible""content=""IE=edge,chrome=1""><meta name=""data-spm""content=""a3c0e""><title>405</title><style>a,body,div,h2,html,p{margin:0;padding:0}a{text-decoration:none;color:#3b6ea3}.container{width:1000px;margin:auto;color:#69"
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.03.040,????,high,fetch_failed,,,,,,,"HTTP 405: <!doctypehtml><html lang=""zh-cn""><meta charset=""utf-8""><meta http-equiv=""X-UA-Compatible""content=""IE=edge,chrome=1""><meta name=""data-spm""content=""a3c0e""><title>405</title><style>a,body,div,h2,html,p{margin:0;padding:0}a{text-decoration:none;color:#3b6ea3}.container{width:1000px;margin:auto;color:#69"
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.03.042,????,high,fetch_failed,,,,,,,"HTTP 405: <!doctypehtml><html lang=""zh-cn""><meta charset=""utf-8""><meta http-equiv=""X-UA-Compatible""content=""IE=edge,chrome=1""><meta name=""data-spm""content=""a3c0e""><title>405</title><style>a,body,div,h2,html,p{margin:0;padding:0}a{text-decoration:none;color:#3b6ea3}.container{width:1000px;margin:auto;color:#69"
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.04.006,????,high,fetch_failed,,,,,,,"HTTP 405: <!doctypehtml><html lang=""zh-cn""><meta charset=""utf-8""><meta http-equiv=""X-UA-Compatible""content=""IE=edge,chrome=1""><meta name=""data-spm""content=""a3c0e""><title>405</title><style>a,body,div,h2,html,p{margin:0;padding:0}a{text-decoration:none;color:#3b6ea3}.container{width:1000px;margin:auto;color:#69"
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.04.015,????,high,fetch_failed,,,,,,,"HTTP 405: <!doctypehtml><html lang=""zh-cn""><meta charset=""utf-8""><meta http-equiv=""X-UA-Compatible""content=""IE=edge,chrome=1""><meta name=""data-spm""content=""a3c0e""><title>405</title><style>a,body,div,h2,html,p{margin:0;padding:0}a{text-decoration:none;color:#3b6ea3}.container{width:1000px;margin:auto;color:#69"
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.04.027,????,high,fetch_failed,,,,,,,"HTTP 405: <!doctypehtml><html lang=""zh-cn""><meta charset=""utf-8""><meta http-equiv=""X-UA-Compatible""content=""IE=edge,chrome=1""><meta name=""data-spm""content=""a3c0e""><title>405</title><style>a,body,div,h2,html,p{margin:0;padding:0}a{text-decoration:none;color:#3b6ea3}.container{width:1000px;margin:auto;color:#69"
