url,category,trust_level,notes
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.04.004,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.02.004,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.04.029,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.10.036,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.06.044,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.03.003,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.01.031,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.01.029,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.01.028,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.01.030,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.11.032,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.10.038,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.11.035,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.01.025,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.07.035,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.027,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.09.035,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.12.010,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.01.001,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.11.024,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2026.02.020,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.10.022,????,high,engineering journal article seed for to1000
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2025.07.003,????,high,engineering journal article seed for to1000
