url,category,trust_level,notes
http://en.hhu.edu.cn/10329/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
http://en.hhu.edu.cn/10330/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
http://en.hhu.edu.cn/335/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
http://en.hhu.edu.cn/342/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
http://en.hhu.edu.cn/main.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
http://www.hhu.edu.cn/,高校机构,high,phase28 second-level discovery seed from successful crawl result
http://www.hhu.edu.cn/23413/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
http://www.hhu.edu.cn/23414/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
http://www.hhu.edu.cn/dxzc/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
http://www.hhu.edu.cn/main.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
http://www.hhu.edu.cn/xxjj_23318/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://en.hhu.edu.cn/,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://en.hhu.edu.cn/10329/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://en.hhu.edu.cn/10330/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://en.hhu.edu.cn/335/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://en.hhu.edu.cn/342/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://en.hhu.edu.cn/343/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://en.hhu.edu.cn/344/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://en.hhu.edu.cn/345/list.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://en.hhu.edu.cn/main.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.asce.org/,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.asce.org/membership/join,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.asce.org/publications-and-news,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.asce.org/publications-and-news/asce-7,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.asce.org/publications-and-news/civil-engineering-source/civil-engineering-magazine,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.asce.org/publications-and-news/codes-and-standards,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.asce.org/publications-and-news/newsroom,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.cement.org,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.cement.org/,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.cement.org/build-america/,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.cement.org/cement-concrete/,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.cement.org/cement-concrete/applications-of-cement/uses-in-infrastructure/,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.cement.org/cement-concrete/types-of-cement/,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.civil.tsinghua.edu.cn/,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.civil.tsinghua.edu.cn/en,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.civil.tsinghua.edu.cn/en/,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.civil.tsinghua.edu.cn/en/About/Committee.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.civil.tsinghua.edu.cn/en/About/Current_Administrators.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.civil.tsinghua.edu.cn/en/About/General_Information.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.civil.tsinghua.edu.cn/en/About/History_of_SCE.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.civil.tsinghua.edu.cn/en/About/Organizational_Structure.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
https://www.civil.tsinghua.edu.cn/en/Education/Graduate.htm,高校机构,high,phase28 second-level discovery seed from successful crawl result
