title,url,category,status,bytes_downloaded,local_path,document_id,source_id,content_hash,error
USACE EM 1110-2-2000 Standard Practice for Concrete for Civil Works Structures,https://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_1110-2-2000.pdf,concrete_standard,download_failed,0,,,,,HTTP 403: Forbidden
USACE EM 1110-2-2006 Roller-Compacted Concrete,https://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_1110-2-2006.pdf,roller_compacted_concrete,download_failed,0,,,,,HTTP 403: Forbidden
USACE EM 1110-2-2200 Gravity Dam Design,https://www.publications.usace.army.mil/portals/76/publications/engineermanuals/em_1110-2-2200.pdf,gravity_dam_design,download_failed,0,,,,,URLError: <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
USACE EM 1110-2-2100 Stability Analysis of Concrete Structures,https://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_1110-2-2100.pdf,concrete_structures,download_failed,0,,,,,HTTP 403: Forbidden
USACE EM 1110-2-2300 Earth and Rock-Fill Dams,https://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_1110-2-2300.pdf,rockfill_dam_design,download_failed,0,,,,,HTTP 403: Forbidden
USBR Concrete Manual,https://www.usbr.gov/tsc/techreferences/mands/mands-pdfs/ConcreteManual.pdf,concrete_manual,download_failed,0,,,,,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)>
USBR Design of Small Dams,https://www.usbr.gov/tsc/techreferences/mands/mands-pdfs/SmallDams.pdf,dam_design,download_failed,0,,,,,URLError: <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
USBR Design of Gravity Dams,https://www.usbr.gov/tsc/techreferences/mands/mands-pdfs/DesignOfGravityDams.pdf,gravity_dam_design,download_failed,0,,,,,URLError: <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
FEMA Federal Guidelines for Dam Safety,https://www.fema.gov/sites/default/files/documents/fema_rm-federal-guidelines-for-dam-safety.pdf,dam_safety,download_failed,0,,,,,URLError: <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
FEMA P-64 Emergency Action Planning for Dams,https://www.fema.gov/sites/default/files/2020-08/eap_federal_guidelines_fema_p-64.pdf,dam_safety,imported,3528868,data\raw\standards\standard_b36fa8f7c7_FEMA_P-64_Emergency_Action_Planning_for_Dams.pdf,1059,standard_d01156fdb1d7,531b4e91cb56e2aeb6f6dd1ca209bbba03597dcd80eecc431a4da93fb300b0ab,
FEMA P-65 Earthquake Analyses and Design of Dams,https://www.fema.gov/sites/default/files/2020-08/fema_dam-safety_earthquake-analysis_P-65.pdf,dam_safety,imported,785471,data\raw\standards\standard_689616abce_FEMA_P-65_Earthquake_Analyses_and_Design_of_Dams.pdf,1060,standard_31bc0c3f797f,f022e5895fbc58b7b01ea24708b5c1e6f6cd2c7c4c10bee25b209fde4d598ca9,
FEMA 148 Glossary of Terms for Dam Safety,https://www.ferc.gov/sites/default/files/2020-04/fema-148.pdf,dam_safety,download_failed,0,,,,,HTTP 403: Forbidden
FEMA P-679 Technical Manual Outlet Works Energy Dissipators,https://damsafety.org/sites/default/files/files/FEMA%20TM%20EnergyDissipators%20P679-2010.pdf,dam_safety,skipped_too_large,0,,,,,Content-Length 23927342 exceeds 20971520 bytes
