url,category,trust_level,notes
https://discovery.researcher.life,开放论文,medium,to1000 depth seed from batch2
https://discovery.researcher.life/ai-research-paper-translation,开放论文,medium,to1000 depth seed from batch2
https://discovery.researcher.life/ask-rdiscovery,开放论文,medium,to1000 depth seed from batch2
https://discovery.researcher.life/library-solutions,开放论文,medium,to1000 depth seed from batch2
https://discovery.researcher.life/listen-to-research-papers-ai-audio-feature,开放论文,medium,to1000 depth seed from batch2
https://discovery.researcher.life/prime,开放论文,medium,to1000 depth seed from batch2
https://discovery.researcher.life/search,开放论文,medium,to1000 depth seed from batch2
https://sklhse.tsinghua.edu.cn/index.htm,工程案例,high,to1000 depth seed from batch2
https://sklhse.tsinghua.edu.cn/info/1017/1076.htm,工程案例,high,to1000 depth seed from batch2
https://sklhse.tsinghua.edu.cn/kxyj/kyjz.htm,工程案例,high,to1000 depth seed from batch2
https://sklhse.tsinghua.edu.cn/kxyj/zzkt.htm,工程案例,high,to1000 depth seed from batch2
https://sklhse.tsinghua.edu.cn/sysdt/jzbg.htm,工程案例,high,to1000 depth seed from batch2
https://sklhse.tsinghua.edu.cn/sysdt/tzgg.htm,工程案例,high,to1000 depth seed from batch2
https://sklhse.tsinghua.edu.cn/sysdt/zxzx.htm,工程案例,high,to1000 depth seed from batch2
https://sklhse.tsinghua.edu.cn/sysgk/glgz.htm,工程案例,high,to1000 depth seed from batch2
https://sklhse.tsinghua.edu.cn/sysgk/sysjj.htm,工程案例,high,to1000 depth seed from batch2
https://sklhse.tsinghua.edu.cn/sysgk/xswyh.htm,工程案例,high,to1000 depth seed from batch2
https://sklhse.tsinghua.edu.cn/sysgk/zzjg.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/en,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/en/About/Committee.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/en/About/Current_Administrators.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/en/About/General_Information.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/en/About/History_of_SCE.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/en/About/Organizational_Structure.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/en/Alumni/SCE_Alumni.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/en/Education/Graduate.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/en/Education/Undergraduate.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/en/index.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/gyxy/lsyg.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/gyxy/wyh.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/gyxy/xygk.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/gyxy/xyxw.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/gyxy/yzzc.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/gysl/lsyg.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/gysl/slgk.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/gysl/slxw.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/index.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/info/1043/1070.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/info/1043/1277.htm,高校机构,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/info/1043/1459.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/info/1043/1926.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/info/1043/2052.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/info/1077/1637.htm,高校机构,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/info/1077/1648.htm,高校机构,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/info/1103/1775.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/info/1111/1840.htm,高校机构,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/info/1111/1846.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/rcpy/bksjy.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/he/rcpy/yjsjy.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/heen/,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/heen/About/Committee.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/heen/About/General_Introduction.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/heen/About/History.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/heen/Education/Graduate.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/heen/Education/Overview.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/heen/Education/Postdoctoral_Research_Station.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/heen/Education/Undergraduate.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/heen/Research/Overview.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/heen/index.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/index.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/info/1045/1224.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/rcpy/bksjy.htm,工程案例,high,to1000 depth seed from batch2
https://www.civil.tsinghua.edu.cn/rcpy/yjsjy.htm,工程案例,high,to1000 depth seed from batch2
https://www.engineering.org.cn/EN,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/EN/advsearch,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/EN/figure_result,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/EN/home,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/achievements/EN,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/achievements/EN/file/download?fileId=IEg1uCAIgAsH6uuR9ejQCg==,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/engi/CN,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/engi/CN/10.1016/J.ENG.2016.04.003,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/engi/CN/10.1016/j.eng.2023.09.020,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/engi/CN/2024/32/1,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/engi/CN/collections/1162450953531220739,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/engi/CN/column?columnId=1159826200937948063,开放论文,high,to1000 depth seed from batch2
https://www.engineering.org.cn/engi/CN/current,开放论文,high,to1000 depth seed from batch2
