metric,value
question_count,100
must_have_image_count,25
image_helpful_count,25
text_only_count,25
no_image_count,25
query_embedding_mode,stored_embedding_proxy
min_image_relevance_score,0.5000
returned_image_count,187
relevant_image_count,174
image_precision,0.9305
image_recall,0.9600
must_have_recall,1.0000
image_helpful_hit_rate,0.9200
image_suppression,1.0000
top1_caption_match_rate,0.8800
topk_caption_match_rate,0.8800
expected_path_hit_rate,0.5200
caption_coverage_in_results,0.7968
page_number_coverage_in_results,1.0000
wrong_generic_curve_rate,0.0000
returned_question_count,48
error_count,0
threshold_decision,pass
elapsed_seconds,6.617
