metric,value
question_count,20
must_have_image_count,20
image_helpful_count,0
text_only_count,0
no_image_count,0
query_embedding_mode,real
min_image_relevance_score,0.5000
returned_image_count,54
relevant_image_count,41
image_precision,0.7593
image_recall,0.8500
must_have_recall,0.8500
image_helpful_hit_rate,0.0000
image_suppression,0.0000
top1_caption_match_rate,0.2500
topk_caption_match_rate,0.2500
expected_path_hit_rate,0.2500
caption_coverage_in_results,0.7222
page_number_coverage_in_results,1.0000
wrong_generic_curve_rate,0.0000
returned_question_count,17
error_count,0
threshold_decision,needs_rerank
elapsed_seconds,8.055
edge_question_count,20
edge_categories,cross_page_image:5;fuzzy_colloquial:5;multi_image_competition:5;table_embedded_chart:5
