metric,value
question_count,50
must_have_image_count,50
image_helpful_count,0
text_only_count,0
no_image_count,0
query_embedding_mode,real
min_image_relevance_score,0.5000
returned_image_count,165
relevant_image_count,108
image_precision,0.6545
image_recall,0.8400
must_have_recall,0.8400
image_helpful_hit_rate,0.0000
image_suppression,0.0000
top1_caption_match_rate,0.2400
topk_caption_match_rate,0.3200
expected_path_hit_rate,0.3200
caption_coverage_in_results,0.6909
page_number_coverage_in_results,1.0000
wrong_generic_curve_rate,0.1250
returned_question_count,46
error_count,0
threshold_decision,needs_rerank
elapsed_seconds,39.735
edge_question_count,50
edge_categories,cross_page_image:10;fuzzy_colloquial:10;multi_image_competition:17;table_embedded_chart:13
