metric,value
question_count,20
must_have_image_count,20
image_helpful_count,0
text_only_count,0
no_image_count,0
query_embedding_mode,real
min_image_relevance_score,0.5000
returned_image_count,72
relevant_image_count,47
image_precision,0.6528
image_recall,0.9000
must_have_recall,0.9000
image_helpful_hit_rate,0.0000
image_suppression,0.0000
top1_caption_match_rate,0.2500
topk_caption_match_rate,0.2500
expected_path_hit_rate,0.2500
caption_coverage_in_results,0.6528
page_number_coverage_in_results,1.0000
wrong_generic_curve_rate,0.2500
returned_question_count,20
error_count,0
threshold_decision,needs_rerank
elapsed_seconds,13.945
edge_question_count,20
edge_categories,cross_page_image:5;fuzzy_colloquial:5;multi_image_competition:5;table_embedded_chart:5
