metric,value
question_count,100
must_have_image_count,25
image_helpful_count,25
text_only_count,25
no_image_count,25
query_embedding_mode,real
min_image_relevance_score,0.5000
returned_image_count,158
relevant_image_count,126
image_precision,0.7975
image_recall,0.7600
must_have_recall,0.9200
image_helpful_hit_rate,0.6000
image_suppression,1.0000
top1_caption_match_rate,0.3200
topk_caption_match_rate,0.4600
expected_path_hit_rate,0.0000
caption_coverage_in_results,0.5443
page_number_coverage_in_results,1.0000
wrong_generic_curve_rate,0.0000
returned_question_count,40
error_count,0
threshold_decision,needs_rerank
elapsed_seconds,11.226
