section,metric,value,notes
summary,llm_rows,200,real_llm
summary,regex_rows,200,real_llm
summary,llm_error_rows,20,real_llm
summary,regex_error_rows,0,real_llm
summary,llm_entity_total,1008,real_llm
summary,regex_entity_total,793,real_llm
summary,entity_overlap,39,real_llm
summary,entity_overlap_precision_proxy,0.0387,real_llm
summary,entity_overlap_recall_proxy,0.0492,real_llm
summary,llm_relation_total,552,real_llm
summary,regex_relation_total,645,real_llm
summary,relation_overlap,3,real_llm
summary,relation_overlap_precision_proxy,0.0054,real_llm
summary,relation_overlap_recall_proxy,0.0047,real_llm
llm_entity_type,Material,285,
llm_entity_type,Method,164,
llm_entity_type,Organization,91,
llm_entity_type,Parameter,300,
llm_entity_type,Standard,62,
llm_entity_type,Value,106,
llm_relation_type,applies_to,220,
llm_relation_type,material_has_property,222,
llm_relation_type,parameter_range,72,
llm_relation_type,standard_defines,33,
llm_relation_type,standard_references,5,
regex_entity_type,Material,256,
regex_entity_type,Method,83,
regex_entity_type,Organization,63,
regex_entity_type,Parameter,76,
regex_entity_type,Standard,22,
regex_entity_type,Value,293,
regex_relation_type,applies_to,203,
regex_relation_type,material_has_property,203,
regex_relation_type,parameter_range,191,
regex_relation_type,standard_defines,40,
regex_relation_type,standard_references,8,
manual_review_gate,required_sample_size,20,Fill manual review CSV before accepting Phase 54A quality gate.
