metric,value
node_count,11396
edge_count,104522
connected_components,1831
isolated_node_count,1604
isolated_node_ratio,0.1408
largest_connected_component_node_count,9119
largest_connected_component_ratio,0.8002
degree_distribution,"{""0"": 1604, ""1"": 4178, ""10"": 93, ""101"": 1, ""102"": 2, ""106"": 2, ""107"": 1, ""109"": 2, ""11"": 70, ""110"": 1, ""111"": 1, ""112"": 2, ""113"": 2, ""114"": 1, ""117"": 2, ""12"": 67, ""120"": 1, ""121"": 2, ""123"": 1, ""125"": 1, ""127"": 3, ""128"": 1, ""129"": 1, ""13"": 49, ""130"": 2, ""131"": 1, ""132"": 2, ""133"": 1, ""134"": 1, ""136"": 1, ""13781"": 1, ""14"": 52, ""140"": 1, ""141"": 1, ""147"": 2, ""15"": 38, ""152"": 1, ""155"": 1, ""157"": 1, ""16"": 36, ""160"": 1, ""161"": 1, ""162"": 1, ""163"": 1, ""167"": 1, ""1690"": 1, ""16960"": 1, ""17"": 35, ""174"": 1, ""17508"": 1, ""177"": 1, ""17772"": 1, ""179"": 1, ""18"": 31, ""1898"": 1, ""19"": 24, ""193"": 2, ""2"": 1973, ""20"": 25, ""207"": 1, ""208"": 1, ""21"": 24, ""214"": 1, ""216"": 1, ""22"": 23, ""224"": 1, ""23"": 19, ""24"": 18, ""25"": 21, ""26"": 13, ""26307"": 1, ""265"": 1, ""27"": 16, ""270"": 1, ""2701"": 1, ""28"": 19, ""280"": 1, ""29"": 11, ""3"": 853, ""30"": 14, ""307"": 1, ""309"": 1, ""31"": 6, ""32"": 5, ""320"": 1, ""321"": 1, ""325"": 1, ""326"": 1, ""33"": 13, ""339"": 1, ""3394"": 1, ""34"": 13, ""35"": 13, ""351"": 1, ""3517"": 1, ""36"": 9, ""37"": 14, ""3762"": 1, ""38"": 9, ""387"": 1, ""389"": 1, ""39"": 6, ""398"": 1, ""4"": 686, ""40"": 8, ""41"": 9, ""42"": 5, ""43"": 5, ""44"": 9, ""4484"": 1, ""449"": 1, ""45"": 8, ""46"": 3, ""47"": 9, ""48"": 7, ""49"": 4, ""5"": 331, ""50"": 1, ""51"": 6, ""518"": 1, ""52"": 5, ""53"": 2, ""54"": 2, ""55"": 4, ""56"": 3, ""57"": 3, ""58"": 3, ""583"": 1, ""5865"": 1, ""59"": 1, ""6"": 276, ""60"": 2, ""6093"": 1, ""61"": 1, ""615"": 1, ""62"": 3, ""63"": 1, ""64"": 3, ""65"": 4, ""66"": 3, ""67"": 4, ""68"": 1, ""69"": 1, ""6903"": 1, ""7"": 173, ""70"": 2, ""71"": 1, ""7136"": 1, ""72"": 2, ""73"": 3, ""74"": 2, ""75"": 4, ""77"": 4, ""78"": 3, ""79"": 3, ""8"": 165, ""81"": 1, ""82"": 1, ""83"": 1, ""85"": 1, ""8519"": 1, ""87"": 2, ""88"": 1, ""89"": 3, ""9"": 111, ""90"": 1, ""91"": 1, ""92"": 2, ""93"": 1, ""95"": 3, ""96"": 1, ""97"": 1, ""98"": 2, ""99"": 2}"
node_type_counts,"{""Material"": 974, ""Method"": 1590, ""Organization"": 281, ""Parameter"": 2675, ""Standard"": 834, ""Value"": 5042}"
edge_type_counts,"{""applies_to"": 26689, ""material_has_property"": 36323, ""parameter_range"": 30961, ""standard_defines"": 7814, ""standard_references"": 2735}"
pruned_isolated_value_nodes,4632
