chunk_id,document_id,document_title,chunk_type,heading_bucket,score
38466,1947,"摘 要:堆石混凝土(Rock-Filled Concrete,RFC)技术以低水化热与施工便捷的优势在工程中得到广泛应用,堆石粒",text,0 引言 > Page 2,267
22495,1295,堆石混凝土抗压强度影响因素细观分析,text,__stage31_parent__:0:Page 1,265
22496,1295,堆石混凝土抗压强度影响因素细观分析,text,__stage31_parent__:1:Page 1,265
23406,1433,堆石混凝土抗压强度影响因素细观分析,text,__stage31_parent__:0:Page 1,265
17077,1604,堆石混凝土立方体抗压性能尺寸效应研究,text,Page 1 > Page 3,264
38463,1947,"摘 要:堆石混凝土(Rock-Filled Concrete,RFC)技术以低水化热与施工便捷的优势在工程中得到广泛应用,堆石粒",text,Page 1,264
15368,1588,堆石混凝土填充性能及界面破坏特性研究,text,Abstract > 6.1 堆石混凝土力学性能试验研究 > 6.1.1 试验原材料和配合比,262
15472,1589,堆石混凝土大坝施工缝层间强度研究,text,2 RFC 试样制备及试验方案 > Page 18,262
23425,1436,堆石混凝土施工层面结合质量影响因素的试验研究 (1),text,__stage31_parent__:1:Page 1,262
37019,1869,粉煤灰掺量对堆石混凝土绝热温升值影响的试验研究及拱坝温度过程分析,text,__stage31_parent__:9:Abstract > Page 10,262
12656,1478,堆石混凝土综合性能的研究现状 (1),text,12 水力发电学报 > 2.3 堆石混凝土力学性能试验研究 > 2.3.1 立方体抗压强度,261
13432,1542,考虑分层填充的非均质堆石混凝土温度研究,text,0 引言,260
24528,1579,基于贵州地区的堆石混凝土尺寸效应及标准值研究,text,__stage31_parent__:6:ABSTRACT,260
38742,1966,"3. 清华大学 水利水电工程系,北京 100084)摘 要:为探明不同堆石形态堆石混凝土(Rock-filled concrete, RFC )的单轴抗压力学行为演变规律差异,本文",text,6 长江科学院院报 > Page 8,259
38735,1966,"3. 清华大学 水利水电工程系,北京 100084)摘 要:为探明不同堆石形态堆石混凝土(Rock-filled concrete, RFC )的单轴抗压力学行为演变规律差异,本文",text,2 长江科学院院报,256
40952,2180,"堆石混凝土(rock-filled concrete,RFC)是将",text,1 试验概况 > 1.1 试验材料,256
17134,1604,堆石混凝土立方体抗压性能尺寸效应研究,text,ABSTRACT > Page 38,254
24852,1585,堆石混凝土劈拉性能尺寸效应研究,text,__stage31_parent__:17:ABSTRACT > Page 20 > 1.3.2 技术路线,254
24953,1587,堆石混凝土在某高坝上的应用研究与抗震分析,text,__stage31_parent__:22:ABSTRACT > Page 33,254
25110,1589,堆石混凝土大坝施工缝层间强度研究,text,__stage31_parent__:12:3 同配比自密实 > Page 17,254
10499,1298,堆石混凝土综合性能的研究现状,text,12 水力发电学报 > Page 4,253
26771,1677,Rock-Filled Concrete with Manufactured Sand,text,__stage31_parent__:16:Abstract > 7.4 Mix Design of Superfluid SCC with MS > 7.4.3 Optimization of Mix Proportion of Superfluid SCC with MS > 7.4.3.1 Adjustment ,253
34576,1898,Liu 等 - 2024 - Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete,text,Page 1 > Page 3,253
14433,1580,基于随机骨料投放的堆石混凝土力学性能研究,text,Abstract > Page 10,252
16648,1600,堆石混凝土渐进破坏细观机理研究,text,摘 要,252
14386,1579,基于贵州地区的堆石混凝土尺寸效应及标准值研究,text,6 专用外加剂 型号 HSHG-T - > Page 76,250
22344,1285,Study on the Influence of Specimen Size and Aggregate Size on the Compressive Strength of Rock-Filled Concrete,text,__stage31_parent__:12:2 Materials and Methods > 2.2 Principles of Numerical Calculation,249
24632,1581,基于随机骨料投放的堆石混凝土断裂性能研究,text,__stage31_parent__:1:摘要,248
31789,1856,柔性网对堆石混凝土坝面层一体化浇筑的影响研究,text,Page 1 > Page 3,248
39203,1993,"堆石混凝土 (rock-filled concrete, RFC)",text,1 RFC 宏细观力学性能研究方法 > 1.3 跨尺度数值模拟与分析技术,248
16321,1597,堆石混凝土抗拉性能及劈裂抗拉破坏机理,text,Page 1 > Page 4,246
37929,1898,Liu 等 - 2024 - Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete,text,__stage31_parent__:6:Page 1 > Page 2,245
13192,1520,水利水电工程中堆石混凝土筑坝关键技术研究,text,Page 1,244
14621,1582,堆石混凝土三维有限元随机仿真模型的研究,text,Abstract > Page 11,244
22642,1309,自密实堆石混凝土力学性能的试验研究,text,__stage31_parent__:0:Page 1,244
23908,1512,智能化赋能堆石混凝土坝施工建设：CIM4R,text,__stage31_parent__:0:Page 1,244
26192,1610,堆石混凝土缺陷对尺寸效应的影响研究,text,__stage31_parent__:0:Page 1,244
31625,1854,某实际工程堆石混凝土的力学性能及抗渗研究,text,ABSTRACT > Page 8,244
36388,1853,某堆石混凝土重力坝的渗流性态分析,text,__stage31_parent__:10:ABSTRACT > 1.1 研究背景及意义,244
38739,1966,"3. 清华大学 水利水电工程系,北京 100084)摘 要:为探明不同堆石形态堆石混凝土(Rock-filled concrete, RFC )的单轴抗压力学行为演变规律差异,本文",text,2 试验结果及讨论 > 2.1 不同龄期 SCC 与 RFC 立方体抗压性能对比,244
26684,1674,Mechanical and Physical Properties,text,__stage31_parent__:7:Abstract > 4.1 Compressive Strength > 4.1.2 Large Specimen Test for Lyutang RFC Arch Dam,243
39218,1993,"堆石混凝土 (rock-filled concrete, RFC)",text,2 RFC 真实力学性能及承载机理 > 2.2 弹性与变形特性 > 2.2.1 弹性模量与泊松比,243
13762,1574,卵石堆石混凝土的非均质温度应力数值模拟,text,Page 1 > Page 4,242
15447,1589,堆石混凝土大坝施工缝层间强度研究,text,Page 1,242
22814,1331,北疆严寒地区堆石混凝土围堰施工技术的试验及研究,text,__stage31_parent__:0:Page 1,242
25058,1588,堆石混凝土填充性能及界面破坏特性研究,text,__stage31_parent__:72:Abstract > Page 155,242
26164,1609,堆石混凝土综合性能试验与温度应力研究,text,"__stage31_parent__:20:4 通过控制温控开关,并使用循环水泵使桶内水温保持恒定。用长杆温度 > Page 35",242
26206,1610,堆石混凝土缺陷对尺寸效应的影响研究,text,__stage31_parent__:14:ABSTRACT > Page 19,242
38433,1946,"堆石混凝土( rock-filled concrete, RFC) 是利用自密实混凝土( self-compacting concrete, SCC) 的高流动、",text,BULLETIN OF THE CHINESE CERAMIC SOCIETY,242
38824,1971,摘 要: 【 目的】 通过研究堆石混凝土( RFC) 和自密实混凝土( SCC) 在劈裂抗拉破坏过程中产生的声,text,1 原材料和试验方案,242
39284,1994,"摘 要:为研究堆石混凝土(RFC)及自密实混凝土(SCC)抗压强度随龄期发展的规律和差异,制备了 5 组不同龄期",text,"06 顾嵋杰,等:堆石混凝土强度随龄期发展规律研究■ > Page 2",242
25233,1591,堆石混凝土层间抗剪性能及其破坏机理研究,text,__stage31_parent__:48:(三)抗剪强度 > Page 82,239
14697,1582,堆石混凝土三维有限元随机仿真模型的研究,text,set environ > Page 81,238
14951,1585,堆石混凝土劈拉性能尺寸效应研究,text,ABSTRACT > Page 20 > 1.3.2 技术路线,238
15471,1589,堆石混凝土大坝施工缝层间强度研究,text,3 同配比自密实 > Page 17,238
23814,1500,工程尺度堆石混凝土抗压性能试验研究,text,__stage31_parent__:4:2 试验方法 > Page 4,238
22017,1165,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,text,__stage31_parent__:1:Page 1,237
36329,1852,早龄期堆石混凝土骨胶界面剪切强度发展规律及机理研究,text,__stage31_parent__:19:ABSTRACT > Page 23,237
10955,1323,中低应变率下堆石混凝土动强度试验研究,text,4 结论 > Page 8,236
24853,1585,堆石混凝土劈拉性能尺寸效应研究,text,__stage31_parent__:18:ABSTRACT > Page 24,236
24916,1586,堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究,text,__stage31_parent__:32:4 堆石混凝土抗压力学性能的细观数值仿真试验研究,236
36325,1852,早龄期堆石混凝土骨胶界面剪切强度发展规律及机理研究,text,__stage31_parent__:15:ABSTRACT > 1.2 国内外研究现状 > 1.2.1 混凝土强度发展规律研究现状,236
39915,2069,"堆石混凝土( Rock-Filled Concrete,RFC)筑坝技术",text,Page 1,236
35494,1817,堆石混凝土坝施工期温度场、应力场分析及裂缝控制,text,__stage31_parent__:10:3 The development law of rock temperature of rock -filled concrete: the > 1.1 课题研究背景及研究意义,234
39281,1994,"摘 要:为研究堆石混凝土(RFC)及自密实混凝土(SCC)抗压强度随龄期发展的规律和差异,制备了 5 组不同龄期",text,Page 1,233
23873,1509,无损检测方法在大尺寸堆石混凝土试验仓强度检测中的应用研究 (1),text,__stage31_parent__:4:Page 1 > Page 3,232
30554,1839,堆石混凝土重力坝监测资料的正反分析和安全评价,text,4 The distribution and change of displacement and stress strain of finite element > Page 11,232
39215,1993,"堆石混凝土 (rock-filled concrete, RFC)",text,"2 RFC 真实力学性能及承载机理 > 23.98 MPa,优于 HSCC 抗压强度,二者比值约为",232
9346,1162,A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications,text,Page 1 > Page 7,231
10904,1322,中低应变率下堆石混凝土动强度试验研究 (1),text,0 引言,231
10935,1323,中低应变率下堆石混凝土动强度试验研究,text,0 引言,231
13931,1575,基于介观模型的界面和骨料对堆石混凝土压拉强度敏感性影响研究,text,ABSTRACT,231
22039,1165,3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties,text,__stage31_parent__:23:Page 1 > Page 12,231
22737,1322,中低应变率下堆石混凝土动强度试验研究 (1),text,__stage31_parent__:2:0 引言,231
22774,1326,全再生骨料堆石混凝土性能研究 (1),text,__stage31_parent__:3:BULLETIN OF THE CHINESE CERAMIC SOCIETY > Page 3,231
22786,1327,全再生骨料堆石混凝土性能研究,text,__stage31_parent__:3:BULLETIN OF THE CHINESE CERAMIC SOCIETY > Page 3,231
24336,1575,基于介观模型的界面和骨料对堆石混凝土压拉强度敏感性影响研究,text,__stage31_parent__:2:ABSTRACT,231
24926,1586,堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究,text,__stage31_parent__:42:参考文献 > Page 72,231
13108,1512,智能化赋能堆石混凝土坝施工建设：CIM4R,text,Page 1,230
13411,1541,考虑分层填充的非均质堆石混凝土温度研究 (1),text,26 温度/°C > Page 10,230
13451,1542,考虑分层填充的非均质堆石混凝土温度研究,text,26 温度/°C > Page 10,230
22741,1322,中低应变率下堆石混凝土动强度试验研究 (1),text,__stage31_parent__:6:2 堆石混凝土动强度分析 > Page 5,230
23517,1458,堆石混凝土水化温升过程及动力学研究 (1),text,__stage31_parent__:2:Page 1,230
23988,1529,浅谈堆石混凝土施工中的质量控制,text,__stage31_parent__:1:1 质量检测方法概述,230
24215,1566,高坝堆石混凝土综合性能及适用性研究,text,__stage31_parent__:1:1 研究对象及方法,230
24254,1574,卵石堆石混凝土的非均质温度应力数值模拟,text,__stage31_parent__:1:摘 要 > Page 5,230
24912,1586,堆石混凝土力学及冻融损伤性能的细观数值仿真试验研究,text,__stage31_parent__:28:4 堆石混凝土抗压力学性能的细观数值仿真试验研究 > Page 46 > 4.1.3 模拟结果分析,230
24959,1587,堆石混凝土在某高坝上的应用研究与抗震分析,text,__stage31_parent__:28:PP LE AL > Page 46,230
25057,1588,堆石混凝土填充性能及界面破坏特性研究,text,__stage31_parent__:71:Abstract > Page 153,230
