domain,document_count,strong,medium,weak,low
www.civil.tsinghua.edu.cn,41,12,1,28,0
www.tsinghua.edu.cn,27,4,0,23,0
doi.org,18,17,0,1,0
sklhse.tsinghua.edu.cn,9,2,0,7,0
www.hhu.edu.cn,6,0,1,5,0
www.engineering.org.cn,6,2,0,4,0
www.cement.org,5,0,2,3,0
www.icsd.tsinghua.edu.cn,5,5,0,0,0
www.concrete.org,4,0,0,4,0
www.iahr.org,4,0,0,4,0
www.icold-cigb.org,1,0,0,1,0
www.ussdams.org,1,0,0,1,0
www.usbr.gov,1,0,0,1,0
www.fema.gov,1,0,0,1,0
en.hhu.edu.cn,1,0,0,1,0
www.asce.org,1,0,0,1,0
www.frontiersin.org,1,0,0,1,0
www.nature.com,1,0,0,1,0
zenodo.org,1,1,0,0,0
yskyz.tsinghua.edu.cn,1,1,0,0,0
discovery.researcher.life,1,1,0,0,0
