metric,value
web_page_documents,136
source_linked_documents,119
unlinked_documents,17
relevance_strong,45
relevance_medium,4
relevance_weak,87
relevance_low,0
suggested_keep_candidate,45
suggested_review_candidate,91
suggested_drop_candidate,0
domain:www.civil.tsinghua.edu.cn,41
domain:www.tsinghua.edu.cn,27
domain:doi.org,18
domain:sklhse.tsinghua.edu.cn,9
domain:www.hhu.edu.cn,6
domain:www.engineering.org.cn,6
domain:www.cement.org,5
domain:www.icsd.tsinghua.edu.cn,5
domain:www.concrete.org,4
domain:www.iahr.org,4
