run_mode,query_id,category,endpoint,mode,provider,model_name,embedding_provider,embedding_model_name,top_k,max_tool_calls,status,error,refused,source_count,citation_count,load_mode,primary_bottleneck,query_embedding_latency_ms,vector_search_latency_ms,faiss_search_latency_ms,numpy_search_latency_ms,rerank_latency_ms,planner_latency_ms,tool_latency_ms,answer_latency_ms,time_to_first_token_ms,time_to_final_ms,iteration_count,tool_call_count
real,stage34_simple_filling_default,simple_fact,agent_query,default,openai-compatible,DeepSeek-V4-Pro,paratera,GLM-Embedding-3,5,3,completed,,false,3,2,,tool_iteration_overhead,593.631,1685.244,5.100,0.000,912.613,0.000,13387.411,13387.411,,13387.752,0,1
real,stage34_simple_filling_react,simple_fact,agent_query,react_agent,openai-compatible,DeepSeek-V4-Pro,paratera,GLM-Embedding-3,5,3,completed,,false,8,2,,tool_iteration_overhead,520.052,46.432,45.946,0.000,2208.512,7530.515,18918.692,14897.827,,26449.350,2,2
real,stage34_thermal_default,long_answer,agent_query,default,openai-compatible,DeepSeek-V4-Pro,paratera,GLM-Embedding-3,5,3,completed,,false,4,3,,tool_iteration_overhead,493.745,30.520,30.383,0.000,1128.724,0.000,29503.507,29503.507,,29503.556,0,1
real,stage34_thermal_react,long_answer,agent_query,react_agent,openai-compatible,DeepSeek-V4-Pro,paratera,GLM-Embedding-3,5,3,completed,,false,9,3,,tool_iteration_overhead,559.200,60.122,44.858,0.000,2184.991,6919.238,49531.624,45675.032,,56451.032,2,2
real,stage34_refusal_boundary_default,refusal_boundary,agent_query,default,openai-compatible,DeepSeek-V4-Pro,paratera,GLM-Embedding-3,5,3,completed,,true,0,0,,tool_iteration_overhead,559.280,45.154,45.009,0.000,1060.351,0.000,3907.734,3907.734,,3907.780,0,1
real,stage34_refusal_boundary_react,refusal_boundary,agent_query,react_agent,openai-compatible,DeepSeek-V4-Pro,paratera,GLM-Embedding-3,5,3,completed,,true,0,0,,planner_latency,0.000,0.000,0.000,0.000,0.000,3509.293,0.000,0.000,,3509.320,1,0
real,stage34_mixed_language_default,mixed_language,agent_query,default,openai-compatible,DeepSeek-V4-Pro,paratera,GLM-Embedding-3,5,3,completed,,false,4,3,,tool_iteration_overhead,531.576,46.650,46.529,0.000,1182.422,0.000,15443.923,15443.923,,15443.968,0,1
real,stage34_mixed_language_react,mixed_language,agent_query,react_agent,openai-compatible,DeepSeek-V4-Pro,paratera,GLM-Embedding-3,5,3,completed,,false,9,3,,tool_iteration_overhead,21931.094,28.764,28.372,0.000,2511.851,10980.483,40765.143,17409.100,,51745.724,2,2
real,stage34_search_default,tool_search,agent_query,default,openai-compatible,DeepSeek-V4-Pro,paratera,GLM-Embedding-3,5,3,completed,,false,5,0,,tool_iteration_overhead,477.210,30.701,30.562,0.000,1238.393,0.000,4177.736,0.000,,4177.776,0,1
real,stage34_chat_filling,chat_baseline,chat,chat,openai-compatible,DeepSeek-V4-Pro,paratera,GLM-Embedding-3,5,3,completed,,false,3,2,,endpoint_total_latency,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20035.427,0,0
